index; ranking; fitness; active_element_count; length; angle_xy; angle_xz; ground_plane_element_count; length; angle_xy; angle_xz; 
0; 206; 13288; 8; 0.001323; 2.740209; 2.703293; 0.056774; 0.765936; 6.757681; 0.139381; 1.508466; 4.527923; 0.116875; 0.799083; 4.430872; 0.052914; 2.783518; 7.115585; 0.274605; 0.984923; 4.796858; 0.093361; 0.052988; 5.474064; -0.184505; 0.912827; 2.106658; 4; 0.518784; 0.000000; 0.341775; 0.518784; 1.570796; 0.341775; 0.518784; 3.141593; 0.341775; 0.518784; 4.712389; 0.341775; 
1; 247; 13115; 8; 0.001381; 2.754234; 2.511974; 0.053388; 0.718654; 6.814455; 0.211083; 1.533995; 4.617752; 0.112412; 0.780243; 3.486740; 0.048246; 2.314048; 5.381611; 0.279914; 1.317153; 5.294036; 0.050349; 0.038662; 5.670525; -0.173007; 0.787694; 1.684694; 4; 0.524144; 0.000000; 0.449593; 0.524144; 1.570796; 0.449593; 0.524144; 3.141593; 0.449593; 0.524144; 4.712389; 0.449593; 
2; 170; 13011; 8; 0.001314; 2.791638; 2.986046; 0.054449; 0.680821; 6.961613; 0.135450; 1.807943; 4.959682; 0.106505; 0.975021; 3.998173; 0.087009; 2.838935; 5.254385; 0.356167; 1.214665; 4.526949; 0.055799; 0.039177; 5.197205; -0.192964; 0.980386; 2.553559; 4; 0.532962; 0.000000; 0.405242; 0.532962; 1.570796; 0.405242; 0.532962; 3.141593; 0.405242; 0.532962; 4.712389; 0.405242; 
3; 34; 12574; 8; 0.001417; 3.032618; 2.733954; 0.057995; 0.711546; 6.542454; 0.151276; 1.901487; 4.054136; 0.106835; 0.762400; 2.911418; 0.078651; 4.166565; 4.144850; 0.306291; 1.411927; 4.424055; 0.069611; 0.056648; 4.658204; -0.216613; 0.517837; 1.816605; 4; 0.521988; 0.000000; 0.535695; 0.521988; 1.570796; 0.535695; 0.521988; 3.141593; 0.535695; 0.521988; 4.712389; 0.535695; 
4; 182; 12546; 8; 0.001547; 2.951397; 2.992296; 0.060690; 0.686838; 6.845046; 0.204306; 1.529493; 4.622507; 0.112893; 0.932967; 3.238147; 0.087004; 2.253279; 5.416062; 0.434929; 1.050627; 4.445698; 0.051581; 0.040842; 5.666223; -0.204193; 0.647814; 1.682256; 4; 0.530229; 0.000000; 0.368137; 0.530229; 1.570796; 0.368137; 0.530229; 3.141593; 0.368137; 0.530229; 4.712389; 0.368137; 
5; 97; 12419; 8; 0.001477; 3.021859; 2.963679; 0.062224; 0.775471; 6.217804; 0.114415; 1.694688; 4.439610; 0.123573; 0.805022; 4.210643; 0.073807; 3.013649; 6.787633; 0.354803; 1.210783; 4.886832; 0.054930; 0.039106; 5.020782; -0.175589; 0.690097; 2.131287; 4; 0.527382; 0.000000; 0.302811; 0.527382; 1.570796; 0.302811; 0.527382; 3.141593; 0.302811; 0.527382; 4.712389; 0.302811; 
6; 237; 12371; 8; 0.001624; 2.844643; 2.450096; 0.076378; 0.688859; 6.469543; 0.131564; 1.805998; 5.684346; 0.106458; 0.911040; 4.028241; 0.070014; 3.990053; 5.488654; 0.345584; 1.674236; 4.083853; 0.055095; 0.037313; 5.850281; -0.188167; 0.387967; 2.412655; 4; 0.503146; 0.000000; 0.467929; 0.503146; 1.570796; 0.467929; 0.503146; 3.141593; 0.467929; 0.503146; 4.712389; 0.467929; 
7; 71; 12359; 8; 0.001438; 2.262960; 2.954615; 0.055442; 0.756750; 6.976876; 0.133008; 1.524699; 4.414998; 0.106313; 0.990952; 2.890527; 0.056156; 3.620937; 4.646336; 0.271078; 1.254494; 4.926400; 0.048710; 0.044122; 4.993293; -0.195775; 0.859081; 2.476601; 4; 0.524235; 0.000000; 0.526699; 0.524235; 1.570796; 0.526699; 0.524235; 3.141593; 0.526699; 0.524235; 4.712389; 0.526699; 
8; 69; 12312; 8; 0.001338; 2.805784; 2.825517; 0.052263; 0.740249; 6.950300; 0.200724; 1.560499; 4.466417; 0.106835; 1.017973; 3.381030; 0.074501; 5.399960; 5.316930; 0.299570; 1.346093; 4.633088; 0.051813; 0.039268; 5.072289; -0.174510; 0.766742; 1.749550; 4; 0.525226; 0.000000; 0.396705; 0.525226; 1.570796; 0.396705; 0.525226; 3.141593; 0.396705; 0.525226; 4.712389; 0.396705; 
9; 152; 12292; 8; 0.001349; 2.347198; 2.813477; 0.062047; 0.757637; 6.935506; 0.168746; 1.983509; 4.494660; 0.118702; 1.288085; 3.645195; 0.089976; 3.534625; 5.591091; 0.279619; 1.285687; 5.052541; 0.097167; 0.046433; 5.852434; -0.190258; 0.682713; 1.946937; 4; 0.503095; 0.000000; 0.368637; 0.503095; 1.570796; 0.368637; 0.503095; 3.141593; 0.368637; 0.503095; 4.712389; 0.368637; 
